BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance(km),streetType,ElectricityProp,NaturalGasProp,SteamProp,OtherEnergyProp,Imp_NumberofFloors
NonResidential,Hotel,DOWNTOWN,2001,1.0,38281,133585,Hotel,None,0.0,None,0.0,57.0,11061916.0,328.63,1.2221466540007557,avenue,0.507209239339731,0.492790760660269,0.0,0.0,10
NonResidential,Hotel,DOWNTOWN,1978,1.0,16200,52210,Hotel,None,0.0,None,0.0,57.0,4456714.5,128.44,0.9690971992776308,avenue,0.5264750524180986,0.4735248353916321,0.0,1.1219026931161958e-07,5
SPS-District K-12,K-12 School,NORTH,1949,1.0,0,160645,K-12 School,None,0.0,None,0.0,75.0,6779173.0,270.18,11.815901151800137,avenue,0.28729182748397186,0.7127081725160281,0.0,0.0,2
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1906,1.0,0,87262,Office,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,,4145920.5,157.77,6.277503237885945,avenue,0.3263070288009623,0.6736928505985583,0.0,1.2060047943514594e-07,3
NonResidential,Hotel,NORTHEAST,1994,1.0,0,81871,Hotel,None,0.0,None,0.0,29.0,6668568.5,215.0,7.014447788839401,avenue,0.45233081132779845,0.5476691136935911,0.0,7.49786104768962e-08,4
NonResidential,Self-Storage Facility,NORTHEAST,1955,1.0,0,110356,Self-Storage Facility,None,0.0,None,0.0,,318364.8125,3.93,6.714731809335374,street,0.8834676099765265,0.1165329789704696,0.0,-5.889469961445567e-07,2
Campus,Mixed Use Property,GREATER DUWAMISH,1992,1.0,0,494835,Office,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,8.0,448385312.0,16870.98,8.21639410524015,way,0.3355959238022498,0.6644040115212337,0.0,6.467651643325908e-08,3
NonResidential,Warehouse,GREATER DUWAMISH,1961,3.0,0,714095,Non-Refrigerated Warehouse,Refrigerated Warehouse,276000.0,Office,71000.0,,44731160.0,311.84,11.2956677358944,street,0.9999998435095356,0.0,0.0,1.564904643653328e-07,2
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1990,1.0,0,54986,K-12 School,None,0.0,None,0.0,97.0,1650279.25,31.47,6.798321732597945,avenue,0.7378078588820649,0.262191989628422,0.0,1.5148951306271347e-07,2
SPS-District K-12,K-12 School,NORTHEAST,1950,1.0,0,175565,K-12 School,None,0.0,None,0.0,88.0,6399127.5,266.05,8.869289712261063,street,0.24998470494610397,0.7500152169182439,0.0,7.813565208694466e-08,2
NonResidential,Small- and Mid-Sized Office,BALLARD,1961,1.0,0,94900,Office,Non-Refrigerated Warehouse,39314.0,None,0.0,57.0,6186461.5,130.56,7.419257773430945,avenue,0.6937059254308784,0.30629399374747585,0.0,8.08216457824881e-08,2
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1900,1.0,0,52554,Office,Other - Education,7849.0,None,0.0,83.0,2951331.25,83.86,3.57406534514131,avenue,0.5352665852062523,0.4647333300862111,0.0,8.470753664130382e-08,2
NonResidential,K-12 School,NORTHWEST,1954,1.0,0,175015,K-12 School,None,0.0,None,0.0,95.0,6994740.5,247.85,9.026154250320387,avenue,0.3831077078556381,0.6168922206620817,0.0,7.148228015035011e-08,3
NonResidential,Self-Storage Facility,DOWNTOWN,1911,1.0,0,70586,Self-Storage Facility,Vocational School,28197.0,Office,3859.0,,2158629.0,45.43,1.3026317530762501,street,0.69499158956912,0.30500841043087995,0.0,0.0,3
NonResidential,Hotel,DOWNTOWN,1969,1.0,205970,126240,Hotel,None,0.0,None,0.0,67.0,16163194.0,295.33,0.28152935090467185,avenue,0.7550739043285628,0.2449260338024774,0.0,6.186895981078987e-08,24
NonResidential,Large Office,DOWNTOWN,1973,1.0,0,168115,Office,Retail Store,65676.0,Data Center,493.0,78.0,9536161.0,66.48,0.39483783763485725,street,0.9999998951359986,0.0,0.0,1.0486400135232616e-07,5
NonResidential,Other,DOWNTOWN,1920,1.0,0,57428,Other - Mall,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,None,0.0,,1247362.0,33.26,0.35177411367949013,avenue,0.5731607985492584,0.42683920145074167,0.0,0.0,2
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,0,59400,Office,Retail Store,4993.0,None,0.0,14.0,5071974.0,35.36,0.33060094068843165,avenue,0.9999998028381061,0.0,0.0,1.9716189396869937e-07,8
NonResidential,Mixed Use Property,DOWNTOWN,1926,1.0,0,52549,Other - Entertainment/Public Assembly,Restaurant,23500.0,Office,5459.0,,15026196.0,584.31,0.15555163990425516,avenue,0.3082921985045317,0.6917078014954683,0.0,0.0,2
NonResidential,Hotel,DOWNTOWN,1930,1.0,10043,88591,Hotel,Parking,10043.0,Restaurant,5000.0,71.0,4841347.5,59.19,0.526349197896788,avenue,0.8861291200435416,0.11387077667942655,0.0,1.0327703185941518e-07,20
NonResidential,Hotel,DOWNTOWN,1982,1.0,146694,847518,Hotel,Parking,117668.0,Swimming Pool,0.0,63.0,80469216.0,2451.58,0.40306087432464044,avenue,0.5659994127443717,0.2898622996401506,0.1441381757714652,1.1184401249789733e-07,34
NonResidential,Hotel,DOWNTOWN,1985,1.0,0,71150,Hotel,Parking,13730.0,Retail Store,9604.0,98.0,5348309.0,134.38,0.4624313117058441,street,0.606528156843593,0.3934716561814211,0.0,1.8697498592545794e-07,7
NonResidential,Hotel,DOWNTOWN,1908,1.0,0,122810,Hotel,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,99.0,5401277.5,227.18,0.5632501290770677,avenue,0.2394916758118797,0.7605082316174275,0.0,9.257069276666492e-08,7
NonResidential,Hotel,LAKE UNION,1959,1.0,42546,70627,Hotel,Parking,42546.0,None,0.0,86.0,5284343.5,144.79,1.4725145245498197,street,0.5572461366298387,0.4427537687510284,0.0,9.461913291594311e-08,5
NonResidential,Hotel,LAKE UNION,2000,1.0,34735,115718,Hotel,Restaurant,3000.0,None,0.0,84.0,6715187.0,199.95,1.4490284680943888,avenue,0.5057355811535852,0.49426441884641487,0.0,0.0,7
NonResidential,Hotel,LAKE UNION,1997,1.0,28200,88100,Hotel,Parking,28300.0,None,0.0,80.0,5827595.5,162.39,1.484469108750831,avenue,0.547130802060644,0.4528691121406762,0.0,8.579867974707579e-08,6
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1998,1.0,36744,118858,Hotel,None,0.0,None,0.0,81.0,6836900.0,152.76,2.233827932935105,avenue,0.666813468092264,0.3331863856426158,0.0,1.462651201567962e-07,6
NonResidential,K-12 School,EAST,1911,1.0,0,56072,K-12 School,None,0.0,None,0.0,76.0,3234787.75,146.34,3.642753762417673,street,0.17060377454440404,0.8293959936011258,0.0,2.3185447020442067e-07,3
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1999,1.0,44891,78051,Hotel,Parking,44891.0,None,0.0,94.0,5337334.0,171.64,2.0383437282921983,street,0.454108736683895,0.545891263316105,0.0,0.0,4
NonResidential,Small- and Mid-Sized Office,CENTRAL,1962,1.0,0,54984,Office,None,0.0,None,0.0,71.0,3375211.0,87.98,1.9950356498620725,street,0.5861055797696796,0.4138944202303204,0.0,0.0,2
NonResidential,Senior Care Community,SOUTHWEST,1922,1.0,0,217603,Senior Care Community,Parking,0.0,None,0.0,54.0,42792072.0,1727.11,6.309531181016694,avenue,0.27633090540696414,0.7236690945930359,0.0,0.0,5
NonResidential,Senior Care Community,NORTHWEST,1970,1.0,0,93397,Senior Care Community,None,0.0,None,0.0,1.0,16402563.0,609.1,13.042915258465358,avenue,0.3462567404862277,0.6537431985476904,0.0,6.096608194707132e-08,2
NonResidential,Hotel,LAKE UNION,2008,1.0,20732,63371,Hotel,Parking,20732.0,None,0.0,74.0,3706100.25,67.06,1.3815359946111814,avenue,0.7589346780352204,0.24106525450842836,0.0,6.745635118747799e-08,6
NonResidential,Medical Office,EAST,1965,1.0,0,179014,Medical Office,None,0.0,None,0.0,48.0,16701055.0,430.84,1.2226452837179138,avenue,0.5919676331824546,0.40803230694108844,0.0,5.98764569064649e-08,3
NonResidential,Hotel,EAST,1908,1.0,0,76631,Hotel,None,0.0,None,0.0,71.0,7258758.5,262.75,0.704890427769355,street,0.3665560715375777,0.6334438595801196,0.0,6.888230266925122e-08,7
NonResidential,Mixed Use Property,EAST,1983,1.0,9341,90439,Medical Office,Parking,20868.0,Office,17020.0,,15473117.0,481.97,0.7377311092588719,avenue,0.6556735142634803,0.0,0.3443263887941906,9.694232907306265e-08,6
NonResidential,Retail Store,LAKE UNION,1929,1.0,0,58320,Retail Store,None,0.0,None,0.0,96.0,1049748.625,39.06,1.6310034360439052,avenue,0.34465679819299594,0.6553426064263719,0.0,5.953806321965889e-07,2
NonResidential,Large Office,LAKE UNION,2010,1.0,0,316306,Office,Parking,150726.0,Other,15139.0,96.0,13795954.0,138.85,1.8329426339671826,avenue,0.9329612870556107,0.06703856797434958,0.0,1.4497003976673162e-07,5
NonResidential,Hotel,LAKE UNION,1990,1.0,44766,238097,Hotel,Parking,51537.0,None,0.0,37.0,19459304.0,526.85,2.0866763715467895,avenue,0.5642880135897974,0.4357119350209031,0.0,5.138929943229213e-08,7
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,0,389000,Other,None,0.0,None,0.0,,23658978.0,607.41,2.0790888823725093,avenue,0.6094576866338013,0.02910861153850348,0.25754071033837556,0.10389299148931962,1
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,0,91213,Other,None,0.0,None,0.0,,8141155.5,344.2,2.0790888823725093,street,0.4611280302900491,0.0,0.5060866359818333,0.03278533372811759,1
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1938,1.0,0,396085,Other,None,0.0,None,0.0,,20955026.0,804.2,2.0790888823725093,street,0.3460900024652797,0.0,0.46593547533656127,0.18797452219815905,5
